what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852272322
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852273379
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852273887
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852298657
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1280852301947
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852304386
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852304784
executed,command,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.project.cleanAction,1280852304820
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852309001
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852359159
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1280852370320
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.undo,1280852373500
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.cut,1280852382564
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1280852408705
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1280852422423
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1280852473060
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1280852489031
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1280852497844
executed,command,,,AUTOGEN:::com.adobe.flexbuilder.debug.ui.mxmlRulerActions/com.adobe.flexbuilder.debug.ui.mxmlDoubleClickBreakpointAction,1280852507583
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852533526
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1280852534933
activated,view,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.DebugView,1280852557647
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Resume,1280852557751
executed,command,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui.commands.Terminate,1280852561060
activated,editor,com.adobe.flexbuilder.mxml.editor,4.0.0.272416,com.adobe.flexbuilder.editors.mxml.MXMLEditor,1280852561760
